sample_id,region,species,vmag_id,mapped_reads,breadth_of_coverage
TAS_BO_01,Tasmania,Bombus_terrestris,DWV_A,8,0.0082
TAS_BO_01,Tasmania,Bombus_terrestris,DWV_B,35,0.0146
TAS_BO_01,Tasmania,Bombus_terrestris,Black_queen_cell_v,0,0.0
TAS_BO_01,Tasmania,Bombus_terrestris,Sacbrood_virus,421,0.7343
TAS_BO_01,Tasmania,Bombus_terrestris,Apis_rhabdovirus_1,39,0.0217
TAS_BO_01,Tasmania,Bombus_terrestris,Bee_macula_like_v,0,0.0
TAS_AP_02,Tasmania,Apis_mellifera,DWV_A,0,0.0
TAS_AP_02,Tasmania,Apis_mellifera,DWV_B,18,0.0762
TAS_AP_02,Tasmania,Apis_mellifera,Black_queen_cell_v,47,0.0137
TAS_AP_02,Tasmania,Apis_mellifera,Sacbrood_virus,298,0.9596
TAS_AP_02,Tasmania,Apis_mellifera,Apis_rhabdovirus_1,50,0.1374
TAS_AP_02,Tasmania,Apis_mellifera,Bee_macula_like_v,0,0.0
TAS_BO_03,Tasmania,Bombus_terrestris,DWV_A,0,0.0
TAS_BO_03,Tasmania,Bombus_terrestris,DWV_B,0,0.0
TAS_BO_03,Tasmania,Bombus_terrestris,Black_queen_cell_v,291,0.3685
TAS_BO_03,Tasmania,Bombus_terrestris,Sacbrood_virus,26,0.1252
TAS_BO_03,Tasmania,Bombus_terrestris,Apis_rhabdovirus_1,0,0.0
TAS_BO_03,Tasmania,Bombus_terrestris,Bee_macula_like_v,28,0.0116
TAS_AP_04,Tasmania,Apis_mellifera,DWV_A,49442,0.8042
TAS_AP_04,Tasmania,Apis_mellifera,DWV_B,8895,0.6611
TAS_AP_04,Tasmania,Apis_mellifera,Black_queen_cell_v,5491,0.7686
TAS_AP_04,Tasmania,Apis_mellifera,Sacbrood_virus,0,0.0
TAS_AP_04,Tasmania,Apis_mellifera,Apis_rhabdovirus_1,15,0.0051
TAS_AP_04,Tasmania,Apis_mellifera,Bee_macula_like_v,0,0.0
TAS_BO_05,Tasmania,Bombus_terrestris,DWV_A,0,0.0
TAS_BO_05,Tasmania,Bombus_terrestris,DWV_B,8166,0.7035
TAS_BO_05,Tasmania,Bombus_terrestris,Black_queen_cell_v,49154,0.723
TAS_BO_05,Tasmania,Bombus_terrestris,Sacbrood_virus,0,0.0
TAS_BO_05,Tasmania,Bombus_terrestris,Apis_rhabdovirus_1,30,0.0208
